Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended,Verified,Word_Count,Review_Length,Average_Rating,Recommendation_Status,Verification_Status,Rating_Level,Date_Flown_Clean,Year,Month,Month_Name
Couple Leisure,Economy Class,BUD to LHR,December 2016,5.0,5.0,3.0,,5.0,5.0,yes,no,133,720,4.6,Recommended,Not Verified,High Rating,2016-12-01,2016,12,December
Couple Leisure,Business Class,FRA to CPT via LHR,December 2016,4.0,5.0,2.0,3.0,4.0,4.0,yes,no,217,1164,3.6666666666666665,Recommended,Not Verified,Medium Rating,2016-12-01,2016,12,December
Couple Leisure,Economy Class,BWI to LHR,December 2016,2.0,3.0,2.0,3.0,1.0,1.0,no,no,185,1062,2.0,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Business,Economy Class,LHR to PRG,December 2016,2.0,3.0,2.0,,2.0,1.0,yes,no,137,711,2.0,Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Couple Leisure,Premium Economy,BKK to LHR,December 2016,4.0,4.0,2.0,5.0,4.0,3.0,no,no,89,511,3.6666666666666665,Not Recommended,Not Verified,Medium Rating,2016-12-01,2016,12,December
Solo Leisure,Premium Economy,DXB to YYZ via LHR,December 2016,2.0,4.0,2.0,1.0,1.0,1.0,no,no,375,2066,1.8333333333333333,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Business,Economy Class,LHR to CPH,December 2016,1.0,1.0,1.0,1.0,1.0,1.0,no,no,133,768,1.0,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Couple Leisure,Economy Class,LGW to ANU,December 2016,3.0,3.0,1.0,2.0,1.0,2.0,no,no,73,440,2.0,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Business,Economy Class,KBP to BFS via LHR,December 2016,3.0,5.0,4.0,2.0,1.0,2.0,no,no,525,2722,2.8333333333333335,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Solo Leisure,Economy Class,LHR to CPT,December 2016,4.0,5.0,4.0,5.0,3.0,5.0,yes,no,66,375,4.333333333333333,Recommended,Not Verified,High Rating,2016-12-01,2016,12,December
Couple Leisure,Premium Economy,BKK to MAN via LHR,December 2016,1.0,1.0,1.0,1.0,1.0,1.0,no,no,286,1572,1.0,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Couple Leisure,First Class,UVF to LGW,December 2016,1.0,3.0,2.0,1.0,4.0,1.0,no,no,446,2375,2.0,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Business,Economy Class,LHR to EDI,December 2016,4.0,3.0,1.0,,4.0,3.0,yes,no,262,1434,3.0,Recommended,Not Verified,Medium Rating,2016-12-01,2016,12,December
Couple Leisure,Business Class,LHR to HKG,December 2016,4.0,5.0,5.0,4.0,4.0,4.0,yes,no,62,352,4.333333333333333,Recommended,Not Verified,High Rating,2016-12-01,2016,12,December
Solo Leisure,Economy Class,LHR to EZE,December 2016,1.0,2.0,2.0,1.0,2.0,2.0,no,no,147,834,1.6666666666666667,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Solo Leisure,Economy Class,HKG to LHR,December 2016,1.0,3.0,3.0,1.0,3.0,4.0,yes,no,167,885,2.5,Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Couple Leisure,Premium Economy,LHR to BKK,November 2016,3.0,1.0,2.0,1.0,3.0,2.0,no,no,140,803,2.0,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,Economy Class,IAD to DEL via LHR,December 2016,3.0,3.0,2.0,3.0,3.0,3.0,no,no,138,740,2.8333333333333335,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Business,Premium Economy,SAN to SVQ via LHR,December 2016,4.0,4.0,1.0,4.0,1.0,1.0,no,no,177,908,2.5,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Family Leisure,Premium Economy,LHR to PHL,October 2016,1.0,1.0,2.0,2.0,1.0,1.0,no,no,85,468,1.3333333333333333,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Business,Business Class,DFW to BOM via LHR,November 2016,3.0,2.0,2.0,2.0,3.0,3.0,no,no,179,1006,2.5,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Solo Leisure,Business Class,LHR to AUS,December 2016,2.0,4.0,3.0,3.0,4.0,2.0,yes,no,162,940,3.0,Recommended,Not Verified,Medium Rating,2016-12-01,2016,12,December
Business,Business Class,LHR to HKG,December 2016,4.0,4.0,4.0,3.0,4.0,5.0,yes,no,66,374,4.0,Recommended,Not Verified,High Rating,2016-12-01,2016,12,December
Business,Premium Economy,MAN to PVG via LHR,December 2016,1.0,1.0,1.0,1.0,1.0,1.0,no,no,402,2258,1.0,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Solo Leisure,Premium Economy,IAD to LHR,December 2016,5.0,5.0,5.0,,5.0,5.0,yes,no,155,976,5.0,Recommended,Not Verified,High Rating,2016-12-01,2016,12,December
Business,Business Class,CTU to LHR,December 2016,2.0,3.0,1.0,2.0,2.0,1.0,no,no,182,1010,1.8333333333333333,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Couple Leisure,Economy Class,LGW to MCO,December 2016,3.0,2.0,1.0,2.0,3.0,1.0,no,no,238,1318,2.0,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Solo Leisure,Premium Economy,LHR to SEA,December 2016,3.0,2.0,2.0,3.0,4.0,3.0,yes,no,63,373,2.8333333333333335,Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Solo Leisure,Economy Class,MAN to LHR,November 2016,4.0,5.0,4.0,,3.0,4.0,yes,no,47,296,4.0,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Solo Leisure,Economy Class,LHR to MAN,November 2016,4.0,5.0,4.0,,4.0,4.0,yes,no,66,388,4.2,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Business,Premium Economy,NBO to LHR,December 2016,2.0,3.0,1.0,3.0,2.0,1.0,no,no,298,1714,2.0,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Solo Leisure,Business Class,SEA to LHR,November 2016,4.0,3.0,3.0,4.0,2.0,2.0,yes,no,140,774,3.0,Recommended,Not Verified,Medium Rating,2016-11-01,2016,11,November
Couple Leisure,First Class,LGW to UVF,December 2016,3.0,2.0,1.0,1.0,1.0,1.0,no,no,363,1878,1.5,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Business,Economy Class,SYD to LHR via SIN,December 2016,3.0,2.0,2.0,3.0,4.0,4.0,yes,no,170,971,3.0,Recommended,Not Verified,Medium Rating,2016-12-01,2016,12,December
Couple Leisure,Economy Class,LHR to CPT,November 2016,1.0,1.0,1.0,2.0,4.0,1.0,no,no,167,916,1.6666666666666667,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,Premium Economy,LHR to YYC,October 2016,5.0,5.0,3.0,4.0,5.0,4.0,yes,no,267,1422,4.333333333333333,Recommended,Not Verified,High Rating,2016-10-01,2016,10,October
Business,Business Class,LHR to LIS,December 2016,1.0,2.0,1.0,1.0,1.0,1.0,no,no,101,576,1.1666666666666667,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Couple Leisure,Economy Class,LHR to HKG,November 2016,1.0,2.0,1.0,4.0,3.0,2.0,no,no,74,391,2.1666666666666665,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Family Leisure,Economy Class,LHR to BKK,December 2016,2.0,2.0,2.0,1.0,4.0,2.0,no,no,200,1084,2.1666666666666665,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Couple Leisure,Business Class,LHR to MAD,December 2016,4.0,4.0,4.0,,4.0,3.0,yes,no,154,852,3.8,Recommended,Not Verified,Medium Rating,2016-12-01,2016,12,December
Couple Leisure,Business Class,SIN to  SYD,December 2016,2.0,1.0,2.0,2.0,1.0,1.0,no,no,95,635,1.5,Not Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Couple Leisure,Economy Class,HKG to LHR,November 2016,1.0,1.0,1.0,1.0,1.0,1.0,no,no,279,1554,1.0,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,Economy Class,LHR to ARN,December 2016,2.0,4.0,1.0,,4.0,3.0,yes,no,92,494,2.8,Recommended,Not Verified,Low Rating,2016-12-01,2016,12,December
Business,Business Class,LHR to ZRH,November 2016,1.0,2.0,1.0,1.0,3.0,1.0,no,no,131,774,1.5,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,Business Class,LGW to MRU,November 2016,2.0,1.0,2.0,2.0,4.0,1.0,no,no,181,989,2.0,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Solo Leisure,Economy Class,LHR to IST,January 2016,3.0,3.0,3.0,3.0,1.0,1.0,no,no,92,499,2.3333333333333335,Not Recommended,Not Verified,Low Rating,2016-01-01,2016,1,January
Family Leisure,Economy Class,LHR to HKG,November 2016,1.0,2.0,,,3.0,2.0,no,no,202,1050,2.0,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Business,First Class,SIN to LHR,November 2016,5.0,5.0,5.0,4.0,3.0,4.0,yes,no,260,1489,4.333333333333333,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Solo Leisure,Economy Class,JFK to LHR,November 2016,4.0,4.0,4.0,3.0,4.0,4.0,yes,no,126,703,3.8333333333333335,Recommended,Not Verified,Medium Rating,2016-11-01,2016,11,November
Couple Leisure,Economy Class,LHR to BHD,October 2016,3.0,4.0,4.0,,3.0,5.0,yes,no,143,795,3.8,Recommended,Not Verified,Medium Rating,2016-10-01,2016,10,October
Business,First Class,LHR to YYZ,November 2016,5.0,5.0,4.0,4.0,5.0,5.0,yes,no,66,398,4.666666666666667,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Couple Leisure,Business Class,MAA to LHR,November 2016,5.0,5.0,5.0,3.0,3.0,3.0,no,no,98,547,4.0,Not Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Business,Premium Economy,SIN to LHR,November 2016,5.0,5.0,5.0,4.0,5.0,5.0,yes,no,87,534,4.833333333333333,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Couple Leisure,Economy Class,TLV to LHR,November 2016,3.0,5.0,5.0,4.0,3.0,4.0,yes,no,62,356,4.0,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Solo Leisure,Business Class,RAK to LGW,November 2016,4.0,5.0,3.0,,2.0,3.0,yes,no,107,611,3.4,Recommended,Not Verified,Medium Rating,2016-11-01,2016,11,November
Family Leisure,Economy Class,SYD to SIN,November 2016,4.0,2.0,1.0,3.0,1.0,1.0,no,no,111,634,2.0,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Business,Economy Class,AMS to LHR,November 2016,1.0,1.0,1.0,1.0,1.0,1.0,no,no,186,1019,1.0,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Solo Leisure,First Class,LHR to SFO,April 2016,3.0,3.0,3.0,3.0,2.0,3.0,no,no,561,2954,2.8333333333333335,Not Recommended,Not Verified,Low Rating,2016-04-01,2016,4,April
Family Leisure,Economy Class,LHR to YYZ,October 2016,3.0,4.0,3.0,3.0,5.0,4.0,yes,no,211,1132,3.6666666666666665,Recommended,Not Verified,Medium Rating,2016-10-01,2016,10,October
Business,Business Class,DUS to BOS via LHR,November 2016,3.0,5.0,2.0,5.0,3.0,2.0,no,no,547,2929,3.3333333333333335,Not Recommended,Not Verified,Medium Rating,2016-11-01,2016,11,November
Business,First Class,LHR to SIN,November 2016,5.0,5.0,5.0,4.0,5.0,5.0,yes,no,168,941,4.833333333333333,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Business,Premium Economy,LHR to DEL,August 2016,1.0,1.0,1.0,1.0,1.0,1.0,no,no,184,1011,1.0,Not Recommended,Not Verified,Low Rating,2016-08-01,2016,8,August
Couple Leisure,Economy Class,RAK to LGW,November 2016,1.0,5.0,2.0,,1.0,1.0,no,no,217,1228,2.0,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Business,Economy Class,LHR to BHD,November 2016,4.0,5.0,4.0,,5.0,3.0,yes,no,157,840,4.2,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Solo Leisure,Economy Class,LHR to KBP,November 2016,3.0,4.0,3.0,2.0,4.0,4.0,yes,no,51,310,3.3333333333333335,Recommended,Not Verified,Medium Rating,2016-11-01,2016,11,November
Solo Leisure,First Class,LHR to LAS,November 2016,5.0,5.0,5.0,2.0,4.0,4.0,yes,no,74,444,4.166666666666667,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Business,Economy Class,BKK to LHR via LAD & ABV,August 2016,1.0,1.0,2.0,1.0,2.0,1.0,no,no,484,2570,1.3333333333333333,Not Recommended,Not Verified,Low Rating,2016-08-01,2016,8,August
Family Leisure,Economy Class,LHR to IAH,August 2016,1.0,2.0,2.0,4.0,2.0,2.0,no,no,82,442,2.1666666666666665,Not Recommended,Not Verified,Low Rating,2016-08-01,2016,8,August
Couple Leisure,Premium Economy,LGW to ANU,September 2016,3.0,1.0,1.0,2.0,3.0,1.0,no,no,595,3179,1.8333333333333333,Not Recommended,Not Verified,Low Rating,2016-09-01,2016,9,September
Business,Economy Class,LHR to DME,November 2016,3.0,2.0,1.0,4.0,4.0,4.0,yes,no,108,635,3.0,Recommended,Not Verified,Medium Rating,2016-11-01,2016,11,November
Business,Economy Class,LGW to BGI,October 2016,2.0,1.0,1.0,2.0,4.0,1.0,no,no,185,1025,1.8333333333333333,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Couple Leisure,First Class,JNB to LHR,November 2016,5.0,3.0,1.0,3.0,2.0,1.0,no,no,214,1262,2.5,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,Premium Economy,MIA to LHR,November 2016,5.0,4.0,4.0,5.0,3.0,4.0,yes,no,124,673,4.166666666666667,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Couple Leisure,Premium Economy,LHR to BWI,November 2016,5.0,5.0,4.0,5.0,5.0,5.0,yes,no,76,439,4.833333333333333,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Solo Leisure,Economy Class,SOF to LHR,November 2016,1.0,2.0,1.0,,1.0,1.0,no,no,152,883,1.2,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,First Class,YYZ to LHR,November 2016,4.0,4.0,1.0,4.0,1.0,2.0,no,no,505,2787,2.6666666666666665,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Business,Economy Class,LHR to KUL,October 2016,3.0,4.0,3.0,4.0,2.0,3.0,yes,no,124,737,3.1666666666666665,Recommended,Not Verified,Medium Rating,2016-10-01,2016,10,October
Business,Business Class,CPT to DUR,November 2016,1.0,2.0,1.0,,3.0,1.0,no,no,73,416,1.6,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,First Class,LHR to IAD,November 2016,5.0,5.0,4.0,4.0,5.0,4.0,yes,no,103,547,4.5,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Family Leisure,Economy Class,BCN to LHR,November 2016,2.0,2.0,2.0,1.0,1.0,4.0,no,no,373,1992,2.0,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,First Class,DFW to LHR,November 2016,5.0,5.0,4.0,4.0,4.0,4.0,yes,no,64,373,4.333333333333333,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Solo Leisure,Economy Class,LHR to TXL,September 2016,3.0,5.0,2.0,,5.0,3.0,yes,no,84,481,3.6,Recommended,Not Verified,Medium Rating,2016-09-01,2016,9,September
Business,Economy Class,LHR to LIS,November 2016,5.0,2.0,1.0,,1.0,2.0,no,no,147,768,2.2,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Family Leisure,Economy Class,LHR to MIA,October 2016,3.0,3.0,1.0,1.0,2.0,2.0,no,no,288,1487,2.0,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Business,Economy Class,LIS to LHR,November 2016,5.0,5.0,5.0,,5.0,5.0,yes,no,53,295,5.0,Recommended,Not Verified,High Rating,2016-11-01,2016,11,November
Family Leisure,First Class,LHR to DXB,November 2016,3.0,4.0,2.0,3.0,2.0,2.0,no,no,314,1685,2.6666666666666665,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,First Class,DXB to LHR,November 2016,3.0,4.0,1.0,3.0,2.0,2.0,no,no,304,1620,2.5,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Solo Leisure,Business Class,LGW to ALC,November 2016,2.0,2.0,3.0,,3.0,3.0,yes,no,185,1011,2.6,Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Solo Leisure,Premium Economy,LHR to BKK,November 2016,2.0,2.0,1.0,1.0,2.0,2.0,no,no,105,613,1.6666666666666667,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,Premium Economy,LGW to BGI,November 2016,1.0,1.0,1.0,3.0,1.0,1.0,no,no,137,730,1.3333333333333333,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Solo Leisure,Economy Class,DUB to LCY,October 2016,5.0,5.0,4.0,,5.0,3.0,yes,no,105,613,4.4,Recommended,Not Verified,High Rating,2016-10-01,2016,10,October
Solo Leisure,Economy Class,JNB to CLT via LHR,November 2016,1.0,1.0,3.0,2.0,1.0,3.0,no,no,112,654,1.8333333333333333,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,First Class,LHR to LAX,October 2016,5.0,5.0,5.0,5.0,4.0,5.0,yes,no,89,525,4.833333333333333,Recommended,Not Verified,High Rating,2016-10-01,2016,10,October
Couple Leisure,Premium Economy,MRU to LGW,November 2016,2.0,1.0,1.0,1.0,3.0,1.0,no,no,351,2022,1.5,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Solo Leisure,Economy Class,ATH to LHR,November 2016,3.0,5.0,1.0,,5.0,1.0,no,no,86,482,3.0,Not Recommended,Not Verified,Medium Rating,2016-11-01,2016,11,November
Couple Leisure,First Class,LHR to KUL,October 2016,3.0,4.0,3.0,3.0,4.0,3.0,yes,no,163,990,3.3333333333333335,Recommended,Not Verified,Medium Rating,2016-10-01,2016,10,October
Solo Leisure,Economy Class,LGW to LIM,August 2016,1.0,1.0,2.0,1.0,3.0,2.0,no,no,242,1226,1.6666666666666667,Not Recommended,Not Verified,Low Rating,2016-08-01,2016,8,August
Business,Economy Class,LCA to LHR,November 2016,2.0,2.0,1.0,1.0,2.0,1.0,no,no,59,313,1.5,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Family Leisure,Business Class,LGW to MCO,November 2016,1.0,1.0,1.0,1.0,1.0,1.0,no,no,302,1625,1.0,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Solo Leisure,Economy Class,LHR to BKK,November 2016,3.0,4.0,1.0,3.0,3.0,3.0,yes,no,71,464,2.8333333333333335,Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Business,Business Class,LHR to GVA,November 2016,2.0,5.0,1.0,,4.0,2.0,no,no,104,568,2.8,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,Economy Class,LHR to LAX,October 2016,4.0,5.0,4.0,4.0,4.0,4.0,yes,no,105,602,4.166666666666667,Recommended,Not Verified,High Rating,2016-10-01,2016,10,October
Couple Leisure,Premium Economy,UVF  to LGW,November 2016,2.0,2.0,1.0,2.0,5.0,1.0,no,no,107,608,2.1666666666666665,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,Economy Class,LHR to BOS,October 2016,2.0,3.0,2.0,4.0,4.0,2.0,no,no,171,920,2.8333333333333335,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Family Leisure,Economy Class,LGW to VLC,October 2016,3.0,4.0,3.0,,4.0,4.0,yes,no,199,1150,3.6,Recommended,Not Verified,Medium Rating,2016-10-01,2016,10,October
Solo Leisure,Economy Class,LGW to SVQ via MAD,November 2016,3.0,4.0,2.0,1.0,3.0,1.0,no,no,285,1520,2.3333333333333335,Not Recommended,Not Verified,Low Rating,2016-11-01,2016,11,November
Couple Leisure,Economy Class,LHR to JFK,October 2016,2.0,3.0,2.0,3.0,1.0,3.0,no,no,269,1415,2.3333333333333335,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Business,Business Class,LHR to OTP,October 2016,2.0,4.0,1.0,,2.0,1.0,no,no,403,2286,2.0,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Solo Leisure,Economy Class,ICN to LHR,October 2016,4.0,5.0,5.0,5.0,4.0,4.0,yes,no,108,610,4.5,Recommended,Not Verified,High Rating,2016-10-01,2016,10,October
Solo Leisure,Economy Class,LHR to CPT via JNB,October 2016,4.0,5.0,4.0,4.0,3.0,5.0,yes,no,189,1076,4.166666666666667,Recommended,Not Verified,High Rating,2016-10-01,2016,10,October
Couple Leisure,Business Class,HKG to LHR,October 2016,3.0,3.0,2.0,1.0,3.0,2.0,no,no,219,1164,2.3333333333333335,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Solo Leisure,Business Class,LHR to ORD,October 2016,5.0,5.0,5.0,5.0,5.0,5.0,yes,no,131,746,5.0,Recommended,Not Verified,High Rating,2016-10-01,2016,10,October
Solo Leisure,Economy Class,YVR to LHR,October 2016,3.0,2.0,1.0,2.0,2.0,2.0,no,no,181,1034,2.0,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Couple Leisure,Economy Class,LHR to AGP,October 2016,3.0,4.0,1.0,,2.0,3.0,yes,no,73,415,2.6,Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Couple Leisure,Premium Economy,LHR to MIA,October 2016,4.0,5.0,4.0,1.0,5.0,4.0,yes,no,145,835,3.8333333333333335,Recommended,Not Verified,Medium Rating,2016-10-01,2016,10,October
Solo Leisure,Economy Class,KWI to EDI via LHR,October 2016,5.0,5.0,4.0,5.0,5.0,5.0,yes,no,251,1488,4.833333333333333,Recommended,Not Verified,High Rating,2016-10-01,2016,10,October
Business,Economy Class,EDI to LGW,October 2016,3.0,5.0,3.0,,5.0,5.0,yes,no,48,304,4.2,Recommended,Not Verified,High Rating,2016-10-01,2016,10,October
Business,Premium Economy,SIN to BCN via LHR,October 2016,3.0,1.0,2.0,2.0,2.0,3.0,no,no,273,1384,2.1666666666666665,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Business,Business Class,LHR to BRU,October 2016,1.0,1.0,1.0,1.0,1.0,1.0,no,no,288,1542,1.0,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Couple Leisure,Economy Class,ATH to LHR,October 2016,3.0,5.0,1.0,,3.0,1.0,no,no,75,404,2.6,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Business,Business Class,MLA to LGW,October 2016,3.0,5.0,3.0,,1.0,3.0,yes,no,197,1106,3.0,Recommended,Not Verified,Medium Rating,2016-10-01,2016,10,October
Couple Leisure,Business Class,BKK to LHR,October 2016,3.0,3.0,2.0,3.0,3.0,3.0,no,no,215,1221,2.8333333333333335,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Family Leisure,Business Class,LGW to Pisa,October 2016,1.0,4.0,2.0,,1.0,1.0,no,no,287,1504,1.8,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Solo Leisure,Premium Economy,CNX  to LHR via BKK,September 2016,3.0,4.0,3.0,2.0,1.0,2.0,no,no,157,939,2.5,Not Recommended,Not Verified,Low Rating,2016-09-01,2016,9,September
Couple Leisure,Business Class,LHR to LAX,September 2016,5.0,3.0,4.0,2.0,5.0,4.0,yes,no,85,507,3.8333333333333335,Recommended,Not Verified,Medium Rating,2016-09-01,2016,9,September
Business,Premium Economy,HND to LHR,October 2016,2.0,2.0,1.0,3.0,3.0,2.0,no,no,152,854,2.1666666666666665,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Solo Leisure,First Class,LHR to BOS,October 2016,4.0,4.0,3.0,4.0,4.0,4.0,yes,no,174,912,3.8333333333333335,Recommended,Not Verified,Medium Rating,2016-10-01,2016,10,October
Couple Leisure,Economy Class,SFO to MAN via LHR,October 2016,2.0,1.0,1.0,1.0,1.0,1.0,no,no,302,1603,1.1666666666666667,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Couple Leisure,Economy Class,LHR to SFO,October 2016,1.0,1.0,2.0,1.0,2.0,1.0,no,no,165,882,1.3333333333333333,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Business,First Class,LHR to SIN,October 2016,4.0,4.0,3.0,3.0,1.0,1.0,no,no,516,2766,2.6666666666666665,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Solo Leisure,Economy Class,BRI to LGW,October 2016,1.0,1.0,1.0,,3.0,1.0,no,no,175,1031,1.4,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Business,First Class,JNB to ATH via LHR,June 2016,3.0,4.0,2.0,3.0,4.0,1.0,no,no,121,666,2.8333333333333335,Not Recommended,Not Verified,Low Rating,2016-06-01,2016,6,June
Solo Leisure,Economy Class,BKK to LHR,September 2016,2.0,2.0,3.0,1.0,3.0,2.0,no,no,58,311,2.1666666666666665,Not Recommended,Not Verified,Low Rating,2016-09-01,2016,9,September
Couple Leisure,Business Class,LGW to MLA,October 2016,1.0,1.0,3.0,,1.0,1.0,no,no,366,2064,1.4,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Solo Leisure,Premium Economy,SYD to LHR via SIN,October 2016,2.0,1.0,1.0,2.0,2.0,1.0,no,no,193,1088,1.5,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Solo Leisure,Business Class,JFK to LHR,October 2016,1.0,3.0,1.0,1.0,1.0,1.0,no,no,148,784,1.3333333333333333,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Family Leisure,Economy Class,LGW to NCE,October 2016,3.0,3.0,2.0,,3.0,3.0,no,no,151,804,2.8,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
Solo Leisure,First Class,LHR to KUL,August 2016,4.0,1.0,1.0,1.0,2.0,2.0,no,no,203,1128,1.8333333333333333,Not Recommended,Not Verified,Low Rating,2016-08-01,2016,8,August
Solo Leisure,Economy Class,PMI to LHR,October 2016,5.0,5.0,5.0,,5.0,5.0,yes,no,102,601,5.0,Recommended,Not Verified,High Rating,2016-10-01,2016,10,October
Couple Leisure,Economy Class,LHR to ICN,October 2016,1.0,4.0,4.0,5.0,3.0,3.0,no,no,90,499,3.3333333333333335,Not Recommended,Not Verified,Medium Rating,2016-10-01,2016,10,October
Couple Leisure,Economy Class,SEA to PRG via LHR,September 2016,3.0,1.0,1.0,3.0,1.0,2.0,no,no,111,616,1.8333333333333333,Not Recommended,Not Verified,Low Rating,2016-09-01,2016,9,September
Family Leisure,Economy Class,SIN to LHR,August 2016,1.0,2.0,1.0,1.0,2.0,2.0,no,no,194,1140,1.5,Not Recommended,Not Verified,Low Rating,2016-08-01,2016,8,August
Solo Leisure,Economy Class,LHR to BUD,October 2016,1.0,1.0,1.0,,1.0,1.0,no,no,221,1334,1.0,Not Recommended,Not Verified,Low Rating,2016-10-01,2016,10,October
